Stock_ID,Company_ID,Ticker,Exchange,Currency,Listing_Date,Is_Active
STK001,CMP001,AAPL,NASDAQ,USD,,Active
STK002,CMP002,ABBV,NASDAQ,USD,,Active
STK003,CMP003,ADBE,NASDAQ,USD,,Active
STK004,CMP004,AMAT,NASDAQ,USD,,Active
STK005,CMP005,AMT,NASDAQ,USD,,Active
STK006,CMP006,AOS,NASDAQ,USD,,Active
STK007,CMP007,AVGO,NASDAQ,USD,,Active
STK008,CMP008,AWR,NASDAQ,USD,,Active
STK009,CMP009,BTBT,NASDAQ,USD,,Active
STK010,CMP010,BYND,NASDAQ,USD,,Active
STK011,CMP011,CAT,NASDAQ,USD,,Active
STK012,CMP012,CMCSA,NASDAQ,USD,,Active
STK013,CMP013,COST,NASDAQ,USD,,Active
STK014,CMP014,CRM,NASDAQ,USD,,Active
STK015,CMP015,CRON,NASDAQ,USD,,Active
STK016,CMP016,CVS,NASDAQ,USD,,Active
STK017,CMP017,CWEN,NASDAQ,USD,,Active
STK018,CMP018,CWEN/A,NASDAQ,USD,,Active
STK019,CMP019,DIS,NASDAQ,USD,,Active
STK020,CMP020,DLR,NASDAQ,USD,,Active
STK021,CMP021,ECL,NASDAQ,USD,,Active
STK022,CMP022,EXPE,NASDAQ,USD,,Active
STK023,CMP023,EXR,NASDAQ,USD,,Active
STK024,CMP024,FSLY,NASDAQ,USD,,Active
STK025,CMP025,GMRE,NASDAQ,USD,,Active
STK026,CMP026,GOOD,NASDAQ,USD,,Active
STK027,CMP027,GOOGL,NASDAQ,USD,,Active
STK028,CMP028,HASI,NASDAQ,USD,,Active
STK029,CMP029,HD,NASDAQ,USD,,Active
STK030,CMP030,HI,NASDAQ,USD,,Active
STK031,CMP031,HON,NASDAQ,USD,,Active
STK032,CMP032,HRZN,NASDAQ,USD,,Active
STK033,CMP033,ICE,NASDAQ,USD,,Active
STK034,CMP034,INTU,NASDAQ,USD,,Active
STK035,CMP035,JNJ,NASDAQ,USD,,Active
STK036,CMP036,JPM,NASDAQ,USD,,Active
STK037,CMP037,LTC,NASDAQ,USD,,Active
STK038,CMP038,LVGO,NASDAQ,USD,,Active
STK039,CMP039,MA,NASDAQ,USD,,Active
STK040,CMP040,MCO,NASDAQ,USD,,Active
STK041,CMP041,MDT,NASDAQ,USD,,Active
STK042,CMP042,META,NASDAQ,USD,,Active
STK043,CMP043,MMM,NASDAQ,USD,,Active
STK044,CMP044,MRK,NASDAQ,USD,,Active
STK045,CMP045,MTB,NASDAQ,USD,,Active
STK046,CMP046,NEE,NASDAQ,USD,,Active
STK047,CMP047,NET,NASDAQ,USD,,Active
STK048,CMP048,NFLX,NASDAQ,USD,,Active
STK049,CMP049,NG,NASDAQ,USD,,Active
STK050,CMP050,NKE,NASDAQ,USD,,Active
STK051,CMP051,NLY,NASDAQ,USD,,Active
STK052,CMP052,NYMT,NASDAQ,USD,,Active
STK053,CMP053,O,NASDAQ,USD,,Active
STK054,CMP054,OHI,NASDAQ,USD,,Active
STK055,CMP055,ONL,NASDAQ,USD,,Active
STK056,CMP056,PBCT,NASDAQ,USD,,Active
STK057,CMP057,PETS,NASDAQ,USD,,Active
STK058,CMP058,PSA,NASDAQ,USD,,Active
STK059,CMP059,QCOM,NASDAQ,USD,,Active
STK060,CMP060,RIOT,NASDAQ,USD,,Active
STK061,CMP061,RITM,NASDAQ,USD,,Active
STK062,CMP062,SBNY,NASDAQ,USD,,Active
STK063,CMP063,SCI,NASDAQ,USD,,Active
STK064,CMP064,SEDG,NASDAQ,USD,,Active
STK065,CMP065,SICP,NASDAQ,USD,,Active
STK066,CMP066,SNOW,NASDAQ,USD,,Active
STK067,CMP067,SPG,NASDAQ,USD,,Active
STK068,CMP068,SPGI,NASDAQ,USD,,Active
STK069,CMP069,STOR,NASDAQ,USD,,Active
STK070,CMP070,STX,NASDAQ,USD,,Active
STK071,CMP071,T,NASDAQ,USD,,Active
STK072,CMP072,TGT,NASDAQ,USD,,Active
STK073,CMP073,UBER,NASDAQ,USD,,Active
STK074,CMP074,UNH,NASDAQ,USD,,Active
STK075,CMP075,UNP,NASDAQ,USD,,Active
STK076,CMP076,V,NASDAQ,USD,,Active
STK077,CMP077,VICI,NASDAQ,USD,,Active
STK078,CMP078,VZ,NASDAQ,USD,,Active
STK079,CMP079,WBD,NASDAQ,USD,,Active
STK080,CMP080,WELL,NASDAQ,USD,,Active
STK081,CMP081,WM,NASDAQ,USD,,Active
STK082,CMP082,WORK,NASDAQ,USD,,Active
STK083,CMP083,WTRG,NASDAQ,USD,,Active
